WARNING 2025-10-01 14:35:51,483 log 1532 26676 Unauthorized: /api/auth/login/
WARNING 2025-10-01 14:35:51,484 basehttp 1532 26676 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2025-10-01 14:36:04,140 log 1532 26676 Unauthorized: /api/auth/login/
WARNING 2025-10-01 14:36:04,140 basehttp 1532 26676 "POST /api/auth/login/ HTTP/1.1" 401 71
WARNING 2025-10-01 14:36:18,763 log 1532 26676 Unauthorized: /api/auth/login/
WARNING 2025-10-01 14:36:18,763 basehttp 1532 26676 "POST /api/auth/login/ HTTP/1.1" 401 71
INFO 2025-10-01 14:36:33,145 basehttp 1532 26676 "POST /api/auth/login/ HTTP/1.1" 200 687
INFO 2025-10-01 14:36:33,364 basehttp 1532 20076 "GET /api/units/ HTTP/1.1" 200 2
INFO 2025-10-01 14:36:33,386 basehttp 1532 13728 "GET /api/security/events/ HTTP/1.1" 200 327
INFO 2025-10-01 14:36:33,430 basehttp 1532 27352 "GET /api/units/ HTTP/1.1" 200 2
INFO 2025-10-01 14:36:33,454 basehttp 1532 26676 "GET /api/users/ HTTP/1.1" 200 805
INFO 2025-10-01 14:36:33,578 basehttp 1532 20076 "GET /api/security/events/ HTTP/1.1" 200 327
INFO 2025-10-01 14:36:33,618 basehttp 1532 27352 "GET /api/users/ HTTP/1.1" 200 805
INFO 2025-10-01 14:36:36,441 basehttp 1532 27352 "GET /api/users/ HTTP/1.1" 200 805
INFO 2025-10-01 14:36:36,607 basehttp 1532 20076 "GET /api/users/ HTTP/1.1" 200 805
INFO 2025-10-01 14:37:10,609 basehttp 1532 20076 "POST /api/face/register/ HTTP/1.1" 201 61
INFO 2025-10-01 14:37:24,053 basehttp 1532 20076 "POST /api/face/recognize/ HTTP/1.1" 200 278
WARNING 2025-10-01 14:38:54,712 log 1532 18004 Bad Request: /api/face/recognize/
WARNING 2025-10-01 14:38:54,713 basehttp 1532 18004 "POST /api/face/recognize/ HTTP/1.1" 400 39
INFO 2025-10-01 14:39:06,005 basehttp 1532 27476 "POST /api/face/recognize/ HTTP/1.1" 200 278
WARNING 2025-10-01 14:39:13,063 log 1532 27476 Not Found: /api/face/recognize/
WARNING 2025-10-01 14:39:13,064 basehttp 1532 27476 "POST /api/face/recognize/ HTTP/1.1" 404 26
WARNING 2025-10-01 14:39:21,268 log 1532 27476 Bad Request: /api/face/recognize/
WARNING 2025-10-01 14:39:21,269 basehttp 1532 27476 "POST /api/face/recognize/ HTTP/1.1" 400 39
WARNING 2025-10-01 14:39:26,731 log 1532 27156 Not Found: /api/face/recognize/
WARNING 2025-10-01 14:39:26,732 basehttp 1532 27156 "POST /api/face/recognize/ HTTP/1.1" 404 26
INFO 2025-10-01 14:39:30,578 basehttp 1532 27156 "GET /api/users/ HTTP/1.1" 200 805
INFO 2025-10-01 14:39:30,663 basehttp 1532 8736 "GET /api/users/ HTTP/1.1" 200 805
INFO 2025-10-01 14:39:48,389 basehttp 1532 14624 "POST /api/face/register/ HTTP/1.1" 201 61
INFO 2025-10-01 14:39:55,989 basehttp 1532 9408 "POST /api/face/recognize/ HTTP/1.1" 200 278
